text;keywords
Dont waste my time theres other people out there who want the attention I used to give you;
I feel like the weather is gaslighting me;
Perhaps the land owner thought nobody would notice as Id strayed so far from the official footpath Im glad I did httpstcoe2WyYVGiNA;
I love westerns I missed my vocation I could have been a cowboy httpstcoWXBA0gvoRU;
Kick start your #weekendvibes with this #delicious #recipe from our #ambassador Dr Rupy Aujla fantastic new book httpstcourT9O3zYv6;
This is what this vicious Govt are doing to people they deem undeserving This is intolerable and does not deserve httpstco9g1g99fr0i;
@Rose_Dixon Do you share even with your mum  Noo Lol;
@PhantomFGAU @tedermeatballs I wouldnt expect a reply this prick is currently playing make up story darts h httpstcof9BfbbMQJE;
@MartyMtweets ABBA 2 new songs ;
@Adi8595 Signing LeBron wont work unless CP3 and Dwade are going too  hes not trying to build again either;
Ah it seems Ive fucked up  oops;
@BearishGuy @MissKittyLeLynx @leerichards182 @gingerbums @ruggerlad @DragHellonEarth @malemassage_ @danielsh08 httpstcohjblRgDKFi;
